"ADM3_PCODE","N","S1","S2","S3"
"130201","65","0","0","0"
"130204","39","0","0","0"
"130205","154","0","0","0"
"130206","199","0","0","0"
"130305","128","0","0","0"
"130306","843","0","0","0"
"130401","499","0","0","0"
"130402","84","0","0","0"
"130403","669","0","0","0"
"130404","296","0","0","0"
"130405","655","0","0","0"
"130406","188","0","0","0"
"130407","520","0","0","0"
"130604","129","0","0","0"
"130607","1038","0","0","0"
"140101","0","0","1251","0"
"140107","0","0","4287","0"
"140109","0","0","3656","0"
"140110","0","0","632","0"
"140111","0","0","3424","0"
"140115","0","0","2971","0"
"140116","0","0","1720","0"
"140120","0","0","2580","0"
"140121","0","0","2176","0"
"140301","0","1343","0","0"
"140303","0","646","1111","0"
"140305","0","2436","0","0"
"140306","0","1973","0","0"
"140307","0","1343","0","0"
"140310","0","1299","23","0"
"140501","0","0","2558","0"
"140502","0","0","3368","0"
"140503","0","0","3299","0"
"140504","0","0","1719","0"
"140505","0","0","2543","0"
"140510","0","0","376","0"
"140511","0","0","837","0"
"140512","0","0","1886","0"
"140513","0","0","1425","0"
"140514","0","0","2776","0"
"140515","0","0","4579","0"
"140516","0","0","4579","0"
"140609","0","0","581","0"
"140701","0","0","2596","0"
"140702","0","0","2954","0"
"140703","0","77","2088","0"
"140707","0","0","1732","0"
"140708","0","0","2996","0"
"140709","0","0","1344","0"
"140710","0","0","309","0"
"140711","0","0","309","0"
"140712","0","0","3613","0"
"140713","0","0","1692","0"
"140714","0","0","3527","0"
"140715","0","0","348","0"
"140801","0","0","1441","0"
"140802","0","0","1501","0"
"140803","0","0","1324","0"
"140804","0","0","2348","0"
"140805","0","0","2070","0"
"140811","0","0","1533","0"
"140814","0","0","893","0"
"140815","0","0","1501","0"
"140816","0","0","1335","0"
"141501","0","0","2644","0"
"141503","0","0","1102","0"
"141504","0","0","1615","0"
"141505","0","451","161","0"
"141506","0","141","1090","0"
"141507","0","0","624","0"
"141508","0","5","925","0"
"141509","0","0","2707","0"
"141510","0","0","2178","0"
"141511","0","0","1271","0"
"141512","0","0","2089","0"
"141603","0","318","206","0"
"141604","0","371","0","0"
"150101","0","0","3478","0"
"150102","0","0","6348","0"
"150103","0","0","5002","0"
"150104","0","0","5873","0"
"150105","0","0","6555","0"
"150106","0","0","6119","0"
"150107","0","0","2225","0"
"150108","0","0","7201","0"
"150109","0","0","6831","0"
"150110","0","0","7631","0"
"150111","0","0","10029","0"
"150112","0","0","668","0"
"150113","0","0","3565","0"
"150114","0","0","3274","0"
"150201","0","0","3478","0"
"150202","0","7387","0","0"
"150203","0","0","4634","0"
"150204","0","0","2691","0"
"150205","0","0","3663","0"
"150206","0","5440","1516","0"
"150207","0","1388","1544","0"
"150208","0","0","2890","0"
"150209","0","0","457","0"
"150301","0","0","6762","0"
"150302","0","0","6297","0"
"150303","0","0","4812","0"
"150304","0","0","3948","0"
"150305","0","0","4763","0"
"150306","0","0","2845","0"
"150307","0","0","5224","0"
"150308","0","0","5715","0"
"150401","0","0","1837","0"
"150402","0","0","2996","0"
"150403","0","0","4991","0"
"150404","0","227","0","0"
"150405","0","9519","0","0"
"150406","0","6473","270","0"
"150407","0","0","6870","0"
"150408","0","7650","0","0"
"150410","0","4056","0","0"
"150411","0","0","5107","0"
"150412","0","1168","0","0"
"150413","0","0","2729","0"
"150414","0","3568","2107","0"
"150501","0","7530","0","0"
"150503","0","4432","0","0"
"150504","0","7042","0","0"
"150505","0","6791","0","0"
"150506","0","3980","0","0"
"150507","0","2872","0","0"
"150601","0","0","7077","0"
"150602","0","0","5915","0"
"150603","0","0","2304","0"
"150604","6","0","0","0"
"150605","0","0","4251","0"
"150611","0","0","3499","0"
"150612","0","1822","3267","0"
"150613","0","0","2452","0"
"150705","0","1988","0","0"
"160103","13","638","0","0"
"160105","0","2298","1144","0"
"160106","0","4269","1244","0"
"160107","0","2298","0","0"
"160109","101","50656","17809","601"
"160110","0","979","0","0"
"160111","0","333","0","0"
"160112","0","979","0","0"
"160114","0","2167","0","0"
"160115","0","122","0","0"
"160116","6","17563","1784","475"
"160120","0","503","0","0"
"160122","21","0","0","0"
"160124","0","271","0","0"
"160125","0","148","0","0"
"160201","787","44175","6433","798"
"160202","730","63956","2473","1241"
"160203","7","52866","712","0"
"160204","126","32452","7559","81"
"160205","516","23963","6257","2307"
"160206","0","13880","198","279"
"160207","63","22889","13487","324"
"160208","758","85946","0","715"
"160209","0","73416","0","0"
"160301","0","7565","0","0"
"160302","0","46893","0","0"
"160305","267","10063","0","886"
"160306","190","8741","6868","1922"
